id_transaksi,id_pelanggan,id_produk,nama_produk,kategori_produk,jumlah_pembelian,tanggal_transaksi
ORD_0007031,CUST_061,PRD_BAS,Baskom / Mangkok Besar Standar,Baskom / Mangkok Besar,1,2025-01-01 17:38
ORD_0007032,CUST_299,PRD_102,Celengan Target Kaleng,Celengan,1,2025-01-01 17:55
ORD_0007033,CUST_311,PRD_102,Celengan Target Kaleng,Celengan,1,2025-01-01 18:48
ORD_0007034,CUST_373,PRD_101,Celengan Ayam Jago,Celengan,2,2025-01-01 19:02
ORD_0007035,CUST_374,PRD_302,Set Mangkok Sambal Plastik,Mangkok Sambal / Saus,1,2025-01-01 19:11
ORD_0007036,CUST_447,PRD_301,Mangkok Saus Keramik,Mangkok Sambal / Saus,5,2025-01-01 19:14
ORD_0007037,CUST_490,PRD_601,Keranjang Baju Kotor,Keranjang,1,2025-01-01 19:21
ORD_0007038,CUST_495,PRD_NAM,Nampan / Tray Standar,Nampan / Tray,1,2025-01-01 19:42
ORD_0007039,CUST_168,PRD_301,Mangkok Saus Keramik,Mangkok Sambal / Saus,1,2025-01-01 19:49
ORD_0007040,CUST_078,PRD_202,Handle Pintu Minimalis,Aksesoris Pintu,1,2025-01-01 20:07
ORD_0007041,CUST_262,PRD_101,Celengan Ayam Jago,Celengan,1,2025-01-01 20:10
ORD_0007042,CUST_283,PRD_101,Celengan Ayam Jago,Celengan,1,2025-01-01 20:16
ORD_0007044,CUST_281,PRD_102,Celengan Target Kaleng,Celengan,1,2025-01-01 20:58
ORD_0007044,CUST_281,PRD_999,Produk Lain-lain,Other,1,2025-01-01 20:58
ORD_0007045,CUST_188,PRD_201,Gembok Anti Maling,Aksesoris Pintu,1,2025-01-01 21:02
ORD_0007046,CUST_257,PRD_BAN,Bangku / Kursi Kecil Standar,Bangku / Kursi Kecil,1,2025-01-01 21:03
ORD_0007047,CUST_151,PRD_101,Celengan Ayam Jago,Celengan,1,2025-01-01 21:04
ORD_0007048,CUST_053,PRD_101,Celengan Ayam Jago,Celengan,2,2025-01-01 21:05
ORD_0007049,CUST_407,PRD_101,Celengan Ayam Jago,Celengan,1,2025-01-01 21:10
ORD_0007050,CUST_359,PRD_SIK,Sikat / Pembersih Standar,Sikat / Pembersih,1,2025-01-01 21:48
ORD_0007050,CUST_359,PRD_102,Celengan Target Kaleng,Celengan,1,2025-01-01 21:48
ORD_0007051,CUST_369,PRD_302,Set Mangkok Sambal Plastik,Mangkok Sambal / Saus,1,2025-01-01 22:03
ORD_0007052,CUST_394,PRD_101,Celengan Ayam Jago,Celengan,1,2025-01-01 22:07
ORD_0007052,CUST_394,PRD_102,Celengan Target Kaleng,Celengan,1,2025-01-01 22:07
ORD_0007053,CUST_150,PRD_202,Handle Pintu Minimalis,Aksesoris Pintu,1,2025-01-01 22:23
ORD_0007053,CUST_150,PRD_201,Gembok Anti Maling,Aksesoris Pintu,1,2025-01-01 22:23
ORD_0007056,CUST_261,PRD_102,Celengan Target Kaleng,Celengan,2,2025-01-02 04:40
ORD_0007058,CUST_290,PRD_NAM,Nampan / Tray Standar,Nampan / Tray,1,2025-01-02 06:28
ORD_0007059,CUST_287,PRD_SEA,Seal / Baut / Roof Standar,Seal / Baut / Roof,1,2025-01-02 07:20
ORD_0007062,CUST_138,PRD_COB,Cobek / Ulekan Standar,Cobek / Ulekan,1,2025-01-02 07:56
ORD_0007064,CUST_091,PRD_LUN,Lunch Box / Rantang Standar,Lunch Box / Rantang,1,2025-01-02 08:22
ORD_0007065,CUST_430,PRD_PLA,Plastik / Wadah Plastik Standar,Plastik / Wadah Plastik,1,2025-01-02 08:24
ORD_0007065,CUST_430,PRD_201,Gembok Anti Maling,Aksesoris Pintu,1,2025-01-02 08:24
ORD_0007066,CUST_135,PRD_203,Door Stopper Karet,Aksesoris Pintu,1,2025-01-02 08:37
ORD_0007067,CUST_232,PRD_SAR,Saringan / Strainer Standar,Saringan / Strainer,1,2025-01-02 08:50
ORD_0007067,CUST_232,PRD_SAR,Saringan / Strainer Standar,Saringan / Strainer,1,2025-01-02 08:50
ORD_0007069,CUST_486,PRD_102,Celengan Target Kaleng,Celengan,1,2025-01-02 09:38
ORD_0007069,CUST_486,PRD_101,Celengan Ayam Jago,Celengan,1,2025-01-02 09:38
ORD_0007072,CUST_495,PRD_102,Celengan Target Kaleng,Celengan,1,2025-01-02 10:24
ORD_0007073,CUST_425,PRD_602,Keranjang Belanja Lipat,Keranjang,1,2025-01-02 10:25
ORD_0007074,CUST_047,PRD_302,Set Mangkok Sambal Plastik,Mangkok Sambal / Saus,5,2025-01-02 10:31
ORD_0007075,CUST_443,PRD_101,Celengan Ayam Jago,Celengan,1,2025-01-02 10:57
ORD_0007076,CUST_387,PRD_102,Celengan Target Kaleng,Celengan,1,2025-01-02 11:11
ORD_0007077,CUST_161,PRD_NAM,Nampan / Tray Standar,Nampan / Tray,1,2025-01-02 11:44
ORD_0007077,CUST_161,PRD_SPA,Spatula Standar,Spatula,1,2025-01-02 11:44
ORD_0007077,CUST_161,PRD_SAR,Saringan / Strainer Standar,Saringan / Strainer,1,2025-01-02 11:44
ORD_0007078,CUST_213,PRD_101,Celengan Ayam Jago,Celengan,1,2025-01-02 11:47
ORD_0007078,CUST_213,PRD_102,Celengan Target Kaleng,Celengan,1,2025-01-02 11:47
ORD_0007078,CUST_213,PRD_102,Celengan Target Kaleng,Celengan,1,2025-01-02 11:47
ORD_0007079,CUST_046,PRD_301,Mangkok Saus Keramik,Mangkok Sambal / Saus,2,2025-01-02 12:02
ORD_0007080,CUST_230,PRD_101,Celengan Ayam Jago,Celengan,1,2025-01-02 12:48
ORD_0007081,CUST_098,PRD_101,Celengan Ayam Jago,Celengan,1,2025-01-02 12:56
ORD_0007082,CUST_129,PRD_SEA,Seal / Baut / Roof Standar,Seal / Baut / Roof,1,2025-01-02 13:17
ORD_0007083,CUST_200,PRD_302,Set Mangkok Sambal Plastik,Mangkok Sambal / Saus,2,2025-01-02 13:25
ORD_0007086,CUST_141,PRD_101,Celengan Ayam Jago,Celengan,1,2025-01-02 13:47
ORD_0007086,CUST_141,PRD_BAS,Baskom / Mangkok Besar Standar,Baskom / Mangkok Besar,1,2025-01-02 13:47
ORD_0007088,CUST_046,PRD_601,Keranjang Baju Kotor,Keranjang,6,2025-01-02 14:00
ORD_0007089,CUST_104,PRD_SAR,Saringan / Strainer Standar,Saringan / Strainer,1,2025-01-02 14:22
ORD_0007090,CUST_383,PRD_102,Celengan Target Kaleng,Celengan,1,2025-01-02 14:29
ORD_0007093,CUST_313,PRD_202,Handle Pintu Minimalis,Aksesoris Pintu,1,2025-01-02 15:14
ORD_0007094,CUST_434,PRD_701,Termos Nasi 5L,Tempat Nasi,1,2025-01-02 15:15
ORD_0007096,CUST_329,PRD_SEA,Seal / Baut / Roof Standar,Seal / Baut / Roof,1,2025-01-02 16:18
ORD_0007097,CUST_405,PRD_302,Set Mangkok Sambal Plastik,Mangkok Sambal / Saus,1,2025-01-02 16:22
ORD_0007097,CUST_405,PRD_PER,Perlengkapan Packing Standar,Perlengkapan Packing,1,2025-01-02 16:22
ORD_0007097,CUST_405,PRD_PER,Perlengkapan Packing Standar,Perlengkapan Packing,1,2025-01-02 16:22
ORD_0007098,CUST_279,PRD_202,Handle Pintu Minimalis,Aksesoris Pintu,1,2025-01-02 16:44
ORD_0007099,CUST_250,PRD_203,Door Stopper Karet,Aksesoris Pintu,1,2025-01-02 17:47
ORD_0007099,CUST_250,PRD_202,Handle Pintu Minimalis,Aksesoris Pintu,1,2025-01-02 17:47
ORD_0007100,CUST_235,PRD_602,Keranjang Belanja Lipat,Keranjang,1,2025-01-02 17:52
ORD_0007102,CUST_106,PRD_702,Bakul Nasi Bambu,Tempat Nasi,1,2025-01-02 18:10
ORD_0007103,CUST_060,PRD_101,Celengan Ayam Jago,Celengan,1,2025-01-02 18:13
ORD_0007104,CUST_063,PRD_101,Celengan Ayam Jago,Celengan,1,2025-01-02 18:43
ORD_0007105,CUST_403,PRD_302,Set Mangkok Sambal Plastik,Mangkok Sambal / Saus,1,2025-01-02 18:45
ORD_0007106,CUST_390,PRD_101,Celengan Ayam Jago,Celengan,2,2025-01-02 18:48
ORD_0007107,CUST_420,PRD_201,Gembok Anti Maling,Aksesoris Pintu,1,2025-01-02 19:07
ORD_0007108,CUST_470,PRD_102,Celengan Target Kaleng,Celengan,1,2025-01-02 19:14
ORD_0007110,CUST_310,PRD_203,Door Stopper Karet,Aksesoris Pintu,1,2025-01-02 19:19
ORD_0007110,CUST_310,PRD_203,Door Stopper Karet,Aksesoris Pintu,2,2025-01-02 19:19
ORD_0007111,CUST_044,PRD_702,Bakul Nasi Bambu,Tempat Nasi,1,2025-01-02 19:29
ORD_0007112,CUST_214,PRD_301,Mangkok Saus Keramik,Mangkok Sambal / Saus,2,2025-01-02 19:39
ORD_0007113,CUST_205,PRD_201,Gembok Anti Maling,Aksesoris Pintu,1,2025-01-02 19:40
ORD_0007114,CUST_438,PRD_202,Handle Pintu Minimalis,Aksesoris Pintu,3,2025-01-02 20:01
ORD_0007115,CUST_018,PRD_101,Celengan Ayam Jago,Celengan,1,2025-01-02 20:06
ORD_0007116,CUST_344,PRD_101,Celengan Ayam Jago,Celengan,1,2025-01-02 20:34
ORD_0007117,CUST_067,PRD_203,Door Stopper Karet,Aksesoris Pintu,2,2025-01-02 20:36
ORD_0007119,CUST_499,PRD_302,Set Mangkok Sambal Plastik,Mangkok Sambal / Saus,1,2025-01-02 20:55
ORD_0007120,CUST_424,PRD_201,Gembok Anti Maling,Aksesoris Pintu,10,2025-01-02 21:06
ORD_0007122,CUST_135,PRD_SAR,Saringan / Strainer Standar,Saringan / Strainer,1,2025-01-02 21:55
ORD_0007124,CUST_274,PRD_102,Celengan Target Kaleng,Celengan,1,2025-01-02 22:33
ORD_0007126,CUST_058,PRD_101,Celengan Ayam Jago,Celengan,1,2025-01-02 23:01
ORD_0007127,CUST_081,PRD_PLA,Plastik / Wadah Plastik Standar,Plastik / Wadah Plastik,1,2025-01-02 23:03
ORD_0007127,CUST_081,PRD_101,Celengan Ayam Jago,Celengan,1,2025-01-02 23:03
ORD_0007127,CUST_081,PRD_PER,Perlengkapan Packing Standar,Perlengkapan Packing,1,2025-01-02 23:03
ORD_0007128,CUST_441,PRD_402,Rak Dinding Tempel,Rak / Rak Serbaguna,1,2025-01-02 23:10
ORD_0007129,CUST_207,PRD_101,Celengan Ayam Jago,Celengan,1,2025-01-02 23:27
ORD_0007131,CUST_266,PRD_101,Celengan Ayam Jago,Celengan,1,2025-01-03 03:29
ORD_0007132,CUST_121,PRD_301,Mangkok Saus Keramik,Mangkok Sambal / Saus,4,2025-01-03 07:30
ORD_0007133,CUST_166,PRD_201,Gembok Anti Maling,Aksesoris Pintu,1,2025-01-03 07:43
ORD_0007135,CUST_316,PRD_203,Door Stopper Karet,Aksesoris Pintu,1,2025-01-03 08:35
ORD_0007136,CUST_075,PRD_101,Celengan Ayam Jago,Celengan,1,2025-01-03 08:45
ORD_0007137,CUST_332,PRD_102,Celengan Target Kaleng,Celengan,1,2025-01-03 09:26
ORD_0007138,CUST_025,PRD_102,Celengan Target Kaleng,Celengan,1,2025-01-03 09:51
ORD_0007138,CUST_025,PRD_101,Celengan Ayam Jago,Celengan,2,2025-01-03 09:51
ORD_0007139,CUST_313,PRD_102,Celengan Target Kaleng,Celengan,1,2025-01-03 11:01
ORD_0007139,CUST_313,PRD_GAN,Gantungan Baju / Hanger Standar,Gantungan Baju / Hanger,1,2025-01-03 11:01
ORD_0007140,CUST_397,PRD_302,Set Mangkok Sambal Plastik,Mangkok Sambal / Saus,2,2025-01-03 11:35
ORD_0007141,CUST_020,PRD_SAR,Saringan / Strainer Standar,Saringan / Strainer,1,2025-01-03 11:57
ORD_0007142,CUST_001,PRD_101,Celengan Ayam Jago,Celengan,1,2025-01-03 12:11
ORD_0007142,CUST_001,PRD_101,Celengan Ayam Jago,Celengan,1,2025-01-03 12:11
ORD_0007142,CUST_001,PRD_102,Celengan Target Kaleng,Celengan,1,2025-01-03 12:11
ORD_0007142,CUST_001,PRD_SIK,Sikat / Pembersih Standar,Sikat / Pembersih,2,2025-01-03 12:11
ORD_0007142,CUST_001,PRD_102,Celengan Target Kaleng,Celengan,1,2025-01-03 12:11
ORD_0007142,CUST_001,PRD_SAR,Saringan / Strainer Standar,Saringan / Strainer,1,2025-01-03 12:11
ORD_0007143,CUST_074,PRD_203,Door Stopper Karet,Aksesoris Pintu,2,2025-01-03 12:51
ORD_0007144,CUST_318,PRD_301,Mangkok Saus Keramik,Mangkok Sambal / Saus,2,2025-01-03 12:53
ORD_0007145,CUST_323,PRD_BOT,Botol / Gelas / Mug Standar,Botol / Gelas / Mug,4,2025-01-03 13:14
ORD_0007147,CUST_244,PRD_102,Celengan Target Kaleng,Celengan,1,2025-01-03 14:02
ORD_0007148,CUST_164,PRD_201,Gembok Anti Maling,Aksesoris Pintu,1,2025-01-03 14:09
ORD_0007149,CUST_350,PRD_401,Rak Sepatu 4 Susun,Rak / Rak Serbaguna,1,2025-01-03 14:31
ORD_0007150,CUST_127,PRD_101,Celengan Ayam Jago,Celengan,1,2025-01-03 14:34
ORD_0007151,CUST_490,PRD_101,Celengan Ayam Jago,Celengan,1,2025-01-03 14:44
ORD_0007152,CUST_437,PRD_201,Gembok Anti Maling,Aksesoris Pintu,1,2025-01-03 15:06
ORD_0007153,CUST_485,PRD_301,Mangkok Saus Keramik,Mangkok Sambal / Saus,1,2025-01-03 15:25
ORD_0007154,CUST_239,PRD_101,Celengan Ayam Jago,Celengan,2,2025-01-03 15:33
ORD_0007155,CUST_017,PRD_302,Set Mangkok Sambal Plastik,Mangkok Sambal / Saus,1,2025-01-03 15:41
ORD_0007156,CUST_327,PRD_101,Celengan Ayam Jago,Celengan,1,2025-01-03 15:44
ORD_0007158,CUST_224,PRD_202,Handle Pintu Minimalis,Aksesoris Pintu,1,2025-01-03 17:10
ORD_0007159,CUST_224,PRD_102,Celengan Target Kaleng,Celengan,1,2025-01-03 18:13
ORD_0007160,CUST_365,PRD_SAR,Saringan / Strainer Standar,Saringan / Strainer,1,2025-01-03 18:16
ORD_0007161,CUST_426,PRD_BAS,Baskom / Mangkok Besar Standar,Baskom / Mangkok Besar,1,2025-01-03 18:34
ORD_0007161,CUST_426,PRD_BAS,Baskom / Mangkok Besar Standar,Baskom / Mangkok Besar,1,2025-01-03 18:34
ORD_0007162,CUST_260,PRD_SAR,Saringan / Strainer Standar,Saringan / Strainer,2,2025-01-03 18:42
ORD_0007162,CUST_260,PRD_SAR,Saringan / Strainer Standar,Saringan / Strainer,2,2025-01-03 18:42
ORD_0007163,CUST_119,PRD_302,Set Mangkok Sambal Plastik,Mangkok Sambal / Saus,2,2025-01-03 18:53
ORD_0007166,CUST_172,PRD_202,Handle Pintu Minimalis,Aksesoris Pintu,1,2025-01-03 20:02
ORD_0007169,CUST_376,PRD_PIR,Piring Standar,Piring,3,2025-01-03 20:41
ORD_0007170,CUST_142,PRD_101,Celengan Ayam Jago,Celengan,1,2025-01-03 21:02
ORD_0007171,CUST_188,PRD_402,Rak Dinding Tempel,Rak / Rak Serbaguna,1,2025-01-03 21:42
ORD_0007172,CUST_174,PRD_AKS,Aksesoris Mandi Standar,Aksesoris Mandi,1,2025-01-03 21:51
ORD_0007172,CUST_174,PRD_AKS,Aksesoris Mandi Standar,Aksesoris Mandi,1,2025-01-03 21:51
ORD_0007172,CUST_174,PRD_101,Celengan Ayam Jago,Celengan,1,2025-01-03 21:51
ORD_0007173,CUST_489,PRD_702,Bakul Nasi Bambu,Tempat Nasi,1,2025-01-03 22:03
ORD_0007174,CUST_309,PRD_102,Celengan Target Kaleng,Celengan,2,2025-01-03 22:16
ORD_0007175,CUST_002,PRD_102,Celengan Target Kaleng,Celengan,1,2025-01-03 22:45
ORD_0007175,CUST_002,PRD_PER,Perlengkapan Packing Standar,Perlengkapan Packing,1,2025-01-03 22:45
ORD_0007176,CUST_323,PRD_102,Celengan Target Kaleng,Celengan,3,2025-01-03 23:16
ORD_0007177,CUST_465,PRD_101,Celengan Ayam Jago,Celengan,1,2025-01-03 23:25
ORD_0007178,CUST_090,PRD_SEA,Seal / Baut / Roof Standar,Seal / Baut / Roof,1,2025-01-04 00:56
ORD_0007179,CUST_150,PRD_701,Termos Nasi 5L,Tempat Nasi,1,2025-01-04 03:43
ORD_0007180,CUST_358,PRD_201,Gembok Anti Maling,Aksesoris Pintu,1,2025-01-04 05:41
ORD_0007181,CUST_324,PRD_601,Keranjang Baju Kotor,Keranjang,4,2025-01-04 06:04
ORD_0007182,CUST_173,PRD_202,Handle Pintu Minimalis,Aksesoris Pintu,1,2025-01-04 07:30
ORD_0007183,CUST_212,PRD_101,Celengan Ayam Jago,Celengan,1,2025-01-04 07:40
ORD_0007184,CUST_237,PRD_999,Produk Lain-lain,Other,1,2025-01-04 07:52
ORD_0007184,CUST_237,PRD_999,Produk Lain-lain,Other,1,2025-01-04 07:52
ORD_0007185,CUST_065,PRD_302,Set Mangkok Sambal Plastik,Mangkok Sambal / Saus,1,2025-01-04 08:22
ORD_0007186,CUST_250,PRD_102,Celengan Target Kaleng,Celengan,1,2025-01-04 09:13
ORD_0007187,CUST_384,PRD_203,Door Stopper Karet,Aksesoris Pintu,1,2025-01-04 09:21
ORD_0007187,CUST_384,PRD_203,Door Stopper Karet,Aksesoris Pintu,1,2025-01-04 09:21
ORD_0007188,CUST_328,PRD_301,Mangkok Saus Keramik,Mangkok Sambal / Saus,3,2025-01-04 09:52
ORD_0007189,CUST_430,PRD_201,Gembok Anti Maling,Aksesoris Pintu,1,2025-01-04 10:03
ORD_0007190,CUST_005,PRD_101,Celengan Ayam Jago,Celengan,2,2025-01-04 10:16
ORD_0007191,CUST_306,PRD_102,Celengan Target Kaleng,Celengan,1,2025-01-04 10:34
ORD_0007191,CUST_306,PRD_PER,Perlengkapan Packing Standar,Perlengkapan Packing,1,2025-01-04 10:34
ORD_0007191,CUST_306,PRD_102,Celengan Target Kaleng,Celengan,1,2025-01-04 10:34
ORD_0007192,CUST_461,PRD_203,Door Stopper Karet,Aksesoris Pintu,5,2025-01-04 11:26
ORD_0007193,CUST_059,PRD_999,Produk Lain-lain,Other,1,2025-01-04 11:28
ORD_0007194,CUST_116,PRD_102,Celengan Target Kaleng,Celengan,1,2025-01-04 12:12
ORD_0007196,CUST_120,PRD_302,Set Mangkok Sambal Plastik,Mangkok Sambal / Saus,2,2025-01-04 14:47
ORD_0007198,CUST_445,PRD_301,Mangkok Saus Keramik,Mangkok Sambal / Saus,1,2025-01-04 14:55
ORD_0007199,CUST_424,PRD_201,Gembok Anti Maling,Aksesoris Pintu,1,2025-01-04 14:58
ORD_0007200,CUST_199,PRD_302,Set Mangkok Sambal Plastik,Mangkok Sambal / Saus,1,2025-01-04 15:05
ORD_0007201,CUST_411,PRD_301,Mangkok Saus Keramik,Mangkok Sambal / Saus,1,2025-01-04 15:47
ORD_0007202,CUST_174,PRD_202,Handle Pintu Minimalis,Aksesoris Pintu,1,2025-01-04 16:24
ORD_0007204,CUST_131,PRD_301,Mangkok Saus Keramik,Mangkok Sambal / Saus,1,2025-01-04 17:39
ORD_0007205,CUST_233,PRD_102,Celengan Target Kaleng,Celengan,1,2025-01-04 18:00
ORD_0007206,CUST_112,PRD_201,Gembok Anti Maling,Aksesoris Pintu,1,2025-01-04 18:00
ORD_0007207,CUST_474,PRD_PIS,Pisau / Alat Potong Standar,Pisau / Alat Potong,2,2025-01-04 18:10
ORD_0007208,CUST_446,PRD_201,Gembok Anti Maling,Aksesoris Pintu,1,2025-01-04 18:13
ORD_0007209,CUST_034,PRD_102,Celengan Target Kaleng,Celengan,1,2025-01-04 18:19
ORD_0007209,CUST_034,PRD_102,Celengan Target Kaleng,Celengan,1,2025-01-04 18:19
ORD_0007210,CUST_468,PRD_102,Celengan Target Kaleng,Celengan,1,2025-01-04 18:27
ORD_0007211,CUST_166,PRD_LUN,Lunch Box / Rantang Standar,Lunch Box / Rantang,3,2025-01-04 18:29
ORD_0007212,CUST_450,PRD_BOT,Botol / Gelas / Mug Standar,Botol / Gelas / Mug,1,2025-01-04 19:12
ORD_0007213,CUST_322,PRD_102,Celengan Target Kaleng,Celengan,1,2025-01-04 19:24
ORD_0007215,CUST_478,PRD_302,Set Mangkok Sambal Plastik,Mangkok Sambal / Saus,2,2025-01-04 19:55
ORD_0007216,CUST_259,PRD_203,Door Stopper Karet,Aksesoris Pintu,1,2025-01-04 20:27
ORD_0007218,CUST_441,PRD_999,Produk Lain-lain,Other,1,2025-01-04 20:56
ORD_0007218,CUST_441,PRD_BAS,Baskom / Mangkok Besar Standar,Baskom / Mangkok Besar,1,2025-01-04 20:56
ORD_0007220,CUST_276,PRD_PER,Peralatan Makan Standar,Peralatan Makan,2,2025-01-04 21:22
ORD_0007221,CUST_301,PRD_PEN,Pengolah Bumbu / Sayur Standar,Pengolah Bumbu / Sayur,1,2025-01-04 21:26
ORD_0007222,CUST_322,PRD_402,Rak Dinding Tempel,Rak / Rak Serbaguna,1,2025-01-04 22:03
ORD_0007223,CUST_128,PRD_202,Handle Pintu Minimalis,Aksesoris Pintu,1,2025-01-04 22:07
ORD_0007224,CUST_389,PRD_PIS,Pisau / Alat Potong Standar,Pisau / Alat Potong,1,2025-01-04 22:09
ORD_0007225,CUST_213,PRD_AKS,Aksesoris Mandi Standar,Aksesoris Mandi,2,2025-01-04 22:53
ORD_0007225,CUST_213,PRD_999,Produk Lain-lain,Other,1,2025-01-04 22:53
ORD_0007225,CUST_213,PRD_BOT,Botol / Gelas / Mug Standar,Botol / Gelas / Mug,1,2025-01-04 22:53
ORD_0007225,CUST_213,PRD_301,Mangkok Saus Keramik,Mangkok Sambal / Saus,1,2025-01-04 22:53
ORD_0007225,CUST_213,PRD_301,Mangkok Saus Keramik,Mangkok Sambal / Saus,1,2025-01-04 22:53
ORD_0007225,CUST_213,PRD_501,Gantungan Handuk Stainless,Peralatan Kamar Mandi,2,2025-01-04 22:53
ORD_0007225,CUST_213,PRD_999,Produk Lain-lain,Other,1,2025-01-04 22:53
ORD_0007225,CUST_213,PRD_999,Produk Lain-lain,Other,2,2025-01-04 22:53
ORD_0007226,CUST_129,PRD_LUN,Lunch Box / Rantang Standar,Lunch Box / Rantang,1,2025-01-04 22:56
ORD_0007227,CUST_084,PRD_302,Set Mangkok Sambal Plastik,Mangkok Sambal / Saus,5,2025-01-04 23:38
ORD_0007228,CUST_146,PRD_101,Celengan Ayam Jago,Celengan,1,2025-01-04 23:50
